customerID,gender,Partner,Dependents,PhoneService,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Churn
fwrf,Male,Yes,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,400 INR,Yes
vev,Male,Yes,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,400 INR,Yes
vef,Male,Yes,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,400 INR,Yes
8665-UTDHZ,Male,Yes,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,400 INR,Yes
2775-SEFEE,Male,No,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),700 INR,No
5919-TMRGD,Female,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,800 INR,Yes
7590-VHVEG,Female,Yes,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,300 INR,No
1066-JKSGK,Male,No,No,Yes,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,300 INR,No
7310-EGVHZ,Male,No,No,Yes,No,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),300 INR,No
2273-QCKXA,Male,No,No,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,500 INR,No
6380-ARCEH,Male,No,No,Yes,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,300 INR,No
3679-XASPY,Female,Yes,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,200 INR,No
3930-ZGWVE,Male,No,No,Yes,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,200 INR,No
3091-FYHKI,Male,No,No,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,400 INR,Yes
2135-RXIHG,Male,No,No,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,500 INR,Yes
6317-YPKDH,Female,No,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),300 INR,Yes
6582-OIVSP,Female,No,No,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,500 INR,No
1024-GUALD,Female,Yes,No,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,300 INR,Yes
3645-DEYGF,Male,No,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,300 INR,No
1285-OKIPP,Male,No,No,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,800 INR,Yes
4195-NZGTA,Female,No,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,300 INR,No
6469-MRVET,Male,Yes,Yes,Yes,No,No,No,No,No,No,No,One year,Yes,Electronic check,300 INR,No
2232-DMLXU,Female,Yes,No,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,600 INR,No
8937-RDTHP,Male,No,No,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,900 INR,Yes
0322-YINQP,Male,No,No,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,500 INR,Yes
6366-ZGQGL,Male,No,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),300 INR,Yes
5940-AHUHD,Male,No,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,800 INR,No
2080-SRCDE,Female,No,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,300 INR,No
5583-SXDAG,Male,Yes,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,700 INR,Yes
8203-XJZRC,Male,No,No,Yes,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,300 INR,No
6390-DSAZX,Female,No,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,800 INR,Yes
1098-TDVUQ,Female,No,No,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),200 INR,No
8705-WZCYL,Male,No,No,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,500 INR,Yes
7302-ZHMHP,Female,No,No,Yes,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,200 INR,No
6158-HDPXZ,Male,No,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,300 INR,No
6905-NIQIN,Male,No,No,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,600 INR,Yes
5167-ZFFMM,Male,No,No,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),1000 INR,Yes
5522-JBWMO,Male,No,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,500 INR,No
4800-VHZKI,Female,No,No,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,200 INR,No
7989-CHGTL,Male,No,No,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,200 INR,No
3577-AMVUX,Male,No,No,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,600 INR,No
4110-PFEUZ,Female,No,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,700 INR,Yes
1452-VOQCH,Male,No,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,800 INR,Yes
3583-EKAPL,Male,No,No,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,600 INR,No
9399-APLBT,Female,Yes,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,800 INR,No
8372-JUXUI,Male,No,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,800 INR,Yes
6579-JPICP,Male,No,No,Yes,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,300 INR,No
1135-LMECX,Female,No,No,Yes,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,200 INR,No
9282-IZGQK,Female,No,No,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,900 INR,Yes
2866-IKBTM,Female,No,No,Yes,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,200 INR,No
2654-VBVPB,Female,No,No,Yes,No,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),200 INR,No
3716-UVSPD,Male,No,No,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,500 INR,No
3627-FHKBK,Female,No,No,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,800 INR,Yes
1423-BMPBQ,Female,Yes,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,200 INR,Yes
9244-ZVAPM,Male,No,No,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,500 INR,No
0970-ETWGE,Male,No,No,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,900 INR,Yes
0887-HJGAR,Male,No,No,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,500 INR,Yes
2024-BASKD,Female,No,No,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,800 INR,Yes
3030-ZKIWL,Male,No,No,Yes,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,300 INR,No
3276-HDUEG,Female,No,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,800 INR,Yes
1448-PWKYE,Male,Yes,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,800 INR,No
8040-MNRTF,Female,No,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,800 INR,Yes
1536-HBSWP,Female,No,No,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,500 INR,No
8262-COGGB,Male,No,No,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,300 INR,No
2480-JZOSN,Female,Yes,No,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,300 INR,No
1029-QFBEN,Male,No,No,Yes,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,200 INR,No
4013-GUXND,Male,No,No,Yes,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,300 INR,No
3900-AQPHZ,Female,No,No,Yes,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,200 INR,No
4678-DVQEO,Female,No,No,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,600 INR,Yes
3807-XHCJH,Female,Yes,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,200 INR,No
1820-TQVEV,Male,No,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,700 INR,Yes
6982-SSHFK,Male,No,No,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,500 INR,No
3027-ZTDHO,Male,No,No,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,900 INR,Yes
2207-NHRJK,Male,No,No,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,600 INR,No
4661-NJEUX,Male,No,No,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,300 INR,No
9227-LUNBG,Female,No,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,300 INR,Yes
9448-REEVD,Male,Yes,No,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),500 INR,No
9117-SHLZX,Male,No,No,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,500 INR,Yes
7294-TMAOP,Female,No,No,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,1000 INR,Yes
5875-YPQFJ,Male,No,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,700 INR,Yes
8603-IJWDN,Male,No,No,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,900 INR,Yes
3717-OFRTN,Male,No,No,Yes,No,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),200 INR,No
4065-JJAVA,Female,No,No,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,500 INR,No
8329-IBCTI,Female,No,No,Yes,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,200 INR,No
2111-DWYHN,Male,No,No,Yes,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,300 INR,No
7439-DKZTW,Male,No,No,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,900 INR,Yes
0841-NULXI,Male,No,No,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,400 INR,Yes
8992-CEUEN,Female,No,No,Yes,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,200 INR,No
5868-CZJDR,Male,No,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,400 INR,Yes
5562-BETPV,Male,Yes,Yes,Yes,No,No,No,No,No,No,No,One year,No,Mailed check,200 INR,No
0107-WESLM,Male,No,No,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,200 INR,No
5673-FSSMF,Female,No,No,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,700 INR,No
6358-LYNGM,Male,No,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,800 INR,Yes
5494-HECPR,Female,No,No,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,900 INR,Yes
3165-HDOEW,Male,Yes,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,500 INR,No
5552-ZNFSJ,Male,No,No,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,500 INR,Yes
2833-SLKDQ,Male,No,No,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,500 INR,No
7595-EUIVN,Female,No,No,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,800 INR,No
7617-EYGLW,Male,No,No,Yes,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,200 INR,No
6260-ONULR,Male,No,No,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,700 INR,No
8985-OOPOS,Female,No,No,Yes,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),800 INR,No
1725-MIMXW,Male,No,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,200 INR,No
7537-RBWEA,Female,No,No,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,300 INR,Yes
1934-SJVJK,Male,No,No,Yes,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,300 INR,No
4291-HPAXL,Male,No,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,200 INR,No
3334-CTHOL,Female,No,No,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),500 INR,Yes
2592-YKDIF,Female,No,No,Yes,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,300 INR,No
6960-HVYXR,Female,No,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,800 INR,Yes
7767-UXAGJ,Male,No,No,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,600 INR,Yes
8445-DNBAE,Male,No,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,600 INR,No
7893-IXHRQ,Male,No,No,Yes,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,300 INR,No
1866-OBPNR,Male,Yes,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),800 INR,No
8695-WDYEA,Male,No,No,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,600 INR,No
8605-ITULD,Female,No,No,Yes,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,200 INR,No
4237-RLAQD,Male,No,No,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,500 INR,Yes
3186-BAXNB,Female,No,No,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,1000 INR,Yes
1157-BQCUW,Male,No,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,800 INR,Yes
2812-SFXMJ,Male,No,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,300 INR,No
1478-VPOAD,Female,No,No,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,500 INR,No
3049-NDXFL,Female,No,No,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,900 INR,Yes
2967-MXRAV,Male,Yes,Yes,Yes,No,No,No,No,No,No,No,One year,No,Mailed check,200 INR,No
0375-HVGXO,Female,No,No,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,400 INR,Yes
0107-YHINA,Male,No,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1000 INR,Yes
3877-JRJIP,Male,No,No,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,600 INR,No
1015-OWJKI,Male,No,No,Yes,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,200 INR,No
7551-JOHTI,Female,No,No,Yes,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,200 INR,No
9804-ICWBG,Male,No,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,700 INR,Yes
5207-PLSTK,Male,Yes,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,500 INR,No
8380-PEFPE,Male,No,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,800 INR,Yes
6650-VJONK,Male,No,No,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),500 INR,No
6910-HADCM,Female,No,No,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,800 INR,Yes
0817-HSUSE,Male,No,No,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,800 INR,No
1663-MHLHE,Male,No,No,Yes,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,200 INR,No
8286-AFUYI,Male,No,No,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,500 INR,No
8356-WUAOJ,Female,Yes,No,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,500 INR,No
1349-WXNGG,Male,No,No,Yes,No,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),300 INR,No
3669-OYSJI,Male,No,No,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),500 INR,No
1612-EOHDH,Female,No,No,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,500 INR,No
7054-LGEQW,Female,No,No,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,500 INR,No
3961-SXAXY,Male,No,No,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),500 INR,No
3566-HJGPK,Male,No,No,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,500 INR,Yes
3494-JCHRQ,Male,No,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,800 INR,Yes
6770-XUAGN,Female,Yes,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,300 INR,No
3946-MHCZW,Male,No,No,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,600 INR,Yes
2018-QKYGT,Male,Yes,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,900 INR,No
3247-MHJKM,Male,No,No,Yes,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,300 INR,No
7243-LCGGZ,Female,No,No,Yes,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,300 INR,No
8267-KFGYD,Male,No,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,300 INR,No
7442-YGZFK,Male,No,No,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),500 INR,No
5054-IEXZT,Male,No,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,800 INR,Yes
5834-ASPWA,Male,No,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,800 INR,Yes
9828-AOQLM,Female,Yes,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,500 INR,No
7065-YUNRY,Female,No,No,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,500 INR,No
8305-VHZBZ,Male,No,No,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,300 INR,No
2538-OIMXF,Female,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,300 INR,No
6356-ELRKD,Female,No,No,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1000 INR,Yes
3177-LASXD,Female,No,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,800 INR,Yes
4897-QSUYC,Female,No,No,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,300 INR,No
1084-UQCHV,Male,No,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),700 INR,Yes
9300-RENDD,Male,No,No,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,800 INR,Yes
0761-AETCS,Female,No,No,Yes,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,200 INR,No
4349-GFQHK,Male,No,No,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,600 INR,Yes
0673-IGUQO,Male,No,No,Yes,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,300 INR,No
5858-EAFCZ,Male,No,No,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,500 INR,No
9787-XVQIU,Male,No,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,800 INR,Yes
8974-OVACP,Female,No,No,Yes,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,300 INR,No
0248-IPDFW,Female,No,No,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,600 INR,No
1895-QTKDO,Female,No,No,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),500 INR,No
2514-GINMM,Male,No,No,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,800 INR,Yes
1393-IMKZG,Female,No,No,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,1000 INR,No
7181-BQYBV,Female,Yes,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1100 INR,Yes
9537-VHDTA,Female,No,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,600 INR,No
0151-ONTOV,Female,No,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,800 INR,Yes
8064-RAVOH,Male,No,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,500 INR,No
7180-PISOG,Male,Yes,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,800 INR,Yes
6140-QNRQQ,Male,No,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,800 INR,No
2672-DZUOY,Male,No,No,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,300 INR,Yes
5103-MHMHY,Female,No,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,500 INR,Yes
4373-VVHQL,Male,No,No,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,500 INR,No
0235-KGSLC,Female,No,No,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),900 INR,No
2712-SYWAY,Female,No,No,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,300 INR,No
9822-OAOVB,Female,No,No,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,600 INR,No
3722-WPXTK,Male,No,No,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,900 INR,Yes
7854-FOKSF,Male,No,No,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,400 INR,Yes
2585-KTFRE,Male,No,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),800 INR,No
2609-IAICY,Female,No,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,800 INR,Yes
1740-CSDJP,Male,No,No,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),400 INR,No
3707-GNWHM,Male,No,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,800 INR,No
5766-ZJYBB,Male,No,No,Yes,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,200 INR,No
4074-SJFFA,Female,No,No,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,600 INR,Yes
4910-GMJOT,Female,No,No,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1000 INR,Yes
2262-SLNVK,Female,No,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,800 INR,No
0137-OCGAB,Female,No,No,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,900 INR,Yes
4588-YBNIB,Female,No,No,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,200 INR,No
2792-LSHWX,Female,No,No,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,900 INR,No
6877-TJMBR,Male,Yes,No,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,900 INR,Yes
8562-GHPPI,Female,No,No,Yes,No,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),200 INR,No
4727-MCYZG,Male,No,No,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,600 INR,No
2725-KXXWT,Male,Yes,No,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1000 INR,Yes
6849-WLEYG,Male,No,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,200 INR,No
1942-OQFRW,Male,No,No,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,500 INR,No
4749-VFKVB,Female,No,No,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,600 INR,Yes
